title,url
X-Force Genesis (XONE),https://www.metacritic.com/game/xbox-one/x-force-genesis
X-Morph: Defense (XONE),https://www.metacritic.com/game/xbox-one/x-morph-defense
X-Morph: Defense - European Assault (XONE),https://www.metacritic.com/game/xbox-one/x-morph-defense---european-assault
X2048 (XONE),https://www.metacritic.com/game/xbox-one/x2048
Xbox Fitness (XONE),https://www.metacritic.com/game/xbox-one/xbox-fitness
Xbox One (XONE),https://www.metacritic.com/game/xbox-one/xbox-one
XCOM 2 (XONE),https://www.metacritic.com/game/xbox-one/xcom-2
XCOM 2 Collection (XONE),https://www.metacritic.com/game/xbox-one/xcom-2-collection
XCOM 2: Shen's Last Gift (XONE),https://www.metacritic.com/game/xbox-one/xcom-2-shens-last-gift
XCOM 2: War of the Chosen (XONE),https://www.metacritic.com/game/xbox-one/xcom-2-war-of-the-chosen
Xeno Crisis (XONE),https://www.metacritic.com/game/xbox-one/xeno-crisis
Xenon Racer (XONE),https://www.metacritic.com/game/xbox-one/xenon-racer
Xenon Valkyrie+ (XONE),https://www.metacritic.com/game/xbox-one/xenon-valkyrie+
Xenoraid (XONE),https://www.metacritic.com/game/xbox-one/xenoraid
XenoRaptor (XONE),https://www.metacritic.com/game/xbox-one/xenoraptor
XIII (Remake) (XONE),https://www.metacritic.com/game/xbox-one/xiii-remake
Xmas Adventure For Kids (XONE),https://www.metacritic.com/game/xbox-one/xmas-adventure-for-kids
Xuan-Yuan Sword 7 (XONE),https://www.metacritic.com/game/xbox-one/xuan-yuan-sword-7
Xuan-Yuan Sword: The Gate of Firmament (XONE),https://www.metacritic.com/game/xbox-one/xuan-yuan-sword-the-gate-of-firmament
