title,url
A Bad Opera-tunity (VITA),https://www.metacritic.com/game/playstation-vita/a-bad-opera-tunity
A Boy and His Blob (VITA),https://www.metacritic.com/game/playstation-vita/a-boy-and-his-blob
A Healer Only Lives Twice (VITA),https://www.metacritic.com/game/playstation-vita/a-healer-only-lives-twice
A Hole New World (VITA),https://www.metacritic.com/game/playstation-vita/a-hole-new-world
A Rose in the Twilight (VITA),https://www.metacritic.com/game/playstation-vita/a-rose-in-the-twilight
A Virus Named TOM (VITA),https://www.metacritic.com/game/playstation-vita/a-virus-named-tom
A Winter's Daydream (VITA),https://www.metacritic.com/game/playstation-vita/a-winters-daydream
A-Men (VITA),https://www.metacritic.com/game/playstation-vita/a-men
A-Men 2 (VITA),https://www.metacritic.com/game/playstation-vita/a-men-2
A.W. Phoenix Fiesta [DUPE] (VITA),https://www.metacritic.com/game/playstation-vita/aw-phoenix-fiesta-dupe
A.W.: Phoenix Festa (VITA),https://www.metacritic.com/game/playstation-vita/aw-phoenix-festa
Aabs Animals (VITA),https://www.metacritic.com/game/playstation-vita/aabs-animals
About Turn (VITA),https://www.metacritic.com/game/playstation-vita/about-turn
Accel World vs. Sword Art Online: Millennium Twilight (VITA),https://www.metacritic.com/game/playstation-vita/accel-world-vs-sword-art-online-millennium-twilight
Access Denied (VITA),https://www.metacritic.com/game/playstation-vita/access-denied
Active Neurons (VITA),https://www.metacritic.com/game/playstation-vita/active-neurons
Active Soccer 2 DX (VITA),https://www.metacritic.com/game/playstation-vita/active-soccer-2-dx
Actual Sunlight (VITA),https://www.metacritic.com/game/playstation-vita/actual-sunlight
Adventure Bar Labyrinth (VITA),https://www.metacritic.com/game/playstation-vita/adventure-bar-labyrinth
Adventure Time: The Secret of the Nameless Kingdom (VITA),https://www.metacritic.com/game/playstation-vita/adventure-time-the-secret-of-the-nameless-kingdom
Adventures of Albanus (VITA),https://www.metacritic.com/game/playstation-vita/adventures-of-albanus
Adventures of Mana (VITA),https://www.metacritic.com/game/playstation-vita/adventures-of-mana
Aegis of Earth: Protonovus Assault (VITA),https://www.metacritic.com/game/playstation-vita/aegis-of-earth-protonovus-assault
AeternoBlade (VITA),https://www.metacritic.com/game/playstation-vita/aeternoblade
Age of Zombies (VITA),https://www.metacritic.com/game/playstation-vita/age-of-zombies
agRAVe KEY MIND C (VITA),https://www.metacritic.com/game/playstation-vita/agrave-key-mind-c
Agus Adventure (VITA),https://www.metacritic.com/game/playstation-vita/agus-adventure
Ahhh! Asteroids (VITA),https://www.metacritic.com/game/playstation-vita/ahhh!-asteroids
Aik Commando (VITA),https://www.metacritic.com/game/playstation-vita/aik-commando
Aik the Barbarian (VITA),https://www.metacritic.com/game/playstation-vita/aik-the-barbarian
Air HockeyZ: Zoo of Madness (VITA),https://www.metacritic.com/game/playstation-vita/air-hockeyz-zoo-of-madness
Air Race Speed (VITA),https://www.metacritic.com/game/playstation-vita/air-race-speed
Akiba's Beat (VITA),https://www.metacritic.com/game/playstation-vita/akibas-beat
Akiba's Trip: Undead & Undressed (VITA),https://www.metacritic.com/game/playstation-vita/akibas-trip-undead-undressed
Alien (Augmented reality) (VITA),https://www.metacritic.com/game/playstation-vita/alien-augmented-reality
Alien Breed (VITA),https://www.metacritic.com/game/playstation-vita/alien-breed
Alien Breed (PS Mobile) (VITA),https://www.metacritic.com/game/playstation-vita/alien-breed-ps-mobile
Alien Shooter (VITA),https://www.metacritic.com/game/playstation-vita/alien-shooter
Alien Walk (VITA),https://www.metacritic.com/game/playstation-vita/alien-walk
Alone With You (VITA),https://www.metacritic.com/game/playstation-vita/alone-with-you
Alphabet Island (VITA),https://www.metacritic.com/game/playstation-vita/alphabet-island
Alphaset by POWGI (VITA),https://www.metacritic.com/game/playstation-vita/alphaset-by-powgi
Alteric (VITA),https://www.metacritic.com/game/playstation-vita/alteric
Alvastia Chronicles (VITA),https://www.metacritic.com/game/playstation-vita/alvastia-chronicles
Ambition of the Slimes (VITA),https://www.metacritic.com/game/playstation-vita/ambition-of-the-slimes
Amnesia: Memories (VITA),https://www.metacritic.com/game/playstation-vita/amnesia-memories
Among The Stars (VITA),https://www.metacritic.com/game/playstation-vita/among-the-stars
Angry Birds Star Wars (VITA),https://www.metacritic.com/game/playstation-vita/angry-birds-star-wars
Angry Birds Trilogy (VITA),https://www.metacritic.com/game/playstation-vita/angry-birds-trilogy
Animals: Cross the Line (VITA),https://www.metacritic.com/game/playstation-vita/animals-cross-the-line
Another World: 20th Anniversary Edition (VITA),https://www.metacritic.com/game/playstation-vita/another-world-20th-anniversary-edition
Antguy - ant route puzzler! - (VITA),https://www.metacritic.com/game/playstation-vita/antguy---ant-route-puzzler!--
Antiquia Lost (VITA),https://www.metacritic.com/game/playstation-vita/antiquia-lost
Ape Of Steel (VITA),https://www.metacritic.com/game/playstation-vita/ape-of-steel
Apocalypse Defense (VITA),https://www.metacritic.com/game/playstation-vita/apocalypse-defense
Appli Archives G-mode Karate Spirits (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-g-mode-karate-spirits
Appli Archives IDAC Escape Game Pack 1 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-idac-escape-game-pack-1
Appli Archives IDAC Escape Game Pack 2 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-idac-escape-game-pack-2
Appli Archives IDAC Escape Game Pack 3 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-idac-escape-game-pack-3
Appli Archives IDAC Escape Game Pack 4 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-idac-escape-game-pack-4
Appli Archives IDAC Escape Game Pack 5 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-idac-escape-game-pack-5
Appli Archives IDAC Escape Game Pack 6 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-idac-escape-game-pack-6
Appli Archives Jaleco Formation Z & Bases Loaded (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-jaleco-formation-z-bases-loaded
Appli Archives: AlphaNuts Deserter's 2DX (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-alphanuts-deserters-2dx
Appli Archives: AlphaNuts Takusuku FRESH! (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-alphanuts-takusuku-fresh!
Appli Archives: Boosim Lab Mini Game Pack (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-boosim-lab-mini-game-pack
Appli Archives: Boosim Lab Minnano Yabo Neo (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-boosim-lab-minnano-yabo-neo
Appli Archives: City Connection (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-city-connection
Appli Archives: extreme Pairon Mobile 1 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-extreme-pairon-mobile-1
Appli Archives: extreme Pairon Mobile 2 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-extreme-pairon-mobile-2
Appli Archives: extreme Pairon Mobile 3 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-extreme-pairon-mobile-3
Appli Archives: extreme Pairon Mobile 4 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-extreme-pairon-mobile-4
Appli Archives: extreme Pairon Mobile 5 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-extreme-pairon-mobile-5
Appli Archives: extreme Pairon Mobile 6 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-extreme-pairon-mobile-6
Appli Archives: extreme Pairon Mobile 7 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-extreme-pairon-mobile-7
Appli Archives: G-mode BurgerTime (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-g-mode-burgertime
Appli Archives: IDAC Escape Game Pack 7 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-idac-escape-game-pack-7
Appli Archives: IDAC Escape Game Pack 8 (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-idac-escape-game-pack-8
Appli Archives: Jaleco Argus & Field Combat (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-jaleco-argus-field-combat
Appli Archives: Jaleco Momoko 1200% (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-jaleco-momoko-1200
Appli Archives: Nikoli Crossword (VITA),https://www.metacritic.com/game/playstation-vita/appli-archives-nikoli-crossword
