title,url
Babol the Walking Box (XONE),https://www.metacritic.com/game/xbox-one/babol-the-walking-box
Babylon 2055 Pinball (XONE),https://www.metacritic.com/game/xbox-one/babylon-2055-pinball
Back 4 Blood (XONE),https://www.metacritic.com/game/xbox-one/back-4-blood
Back 4 Blood: Children of the Worm (XONE),https://www.metacritic.com/game/xbox-one/back-4-blood-children-of-the-worm
Back 4 Blood: River of Blood (XONE),https://www.metacritic.com/game/xbox-one/back-4-blood-river-of-blood
Back 4 Blood: Tunnels of Terror (XONE),https://www.metacritic.com/game/xbox-one/back-4-blood-tunnels-of-terror
Back in 1995 (XONE),https://www.metacritic.com/game/xbox-one/back-in-1995
Back to Belt (XONE),https://www.metacritic.com/game/xbox-one/back-to-belt
Back to the Future: The Game (XONE),https://www.metacritic.com/game/xbox-one/back-to-the-future-the-game
Backbone (XONE),https://www.metacritic.com/game/xbox-one/backbone
Backfirewall_ (XONE),https://www.metacritic.com/game/xbox-one/backfirewall_
Backpack Twins (XONE),https://www.metacritic.com/game/xbox-one/backpack-twins
BackSlash (XONE),https://www.metacritic.com/game/xbox-one/backslash
Bad Dream: Coma (XONE),https://www.metacritic.com/game/xbox-one/bad-dream-coma
Bad North (XONE),https://www.metacritic.com/game/xbox-one/bad-north
BADLAND: Game of the Year Edition (XONE),https://www.metacritic.com/game/xbox-one/badland-game-of-the-year-edition
Bai Qu: Hundreds of Melodies (XONE),https://www.metacritic.com/game/xbox-one/bai-qu-hundreds-of-melodies
Baila Latino (XONE),https://www.metacritic.com/game/xbox-one/baila-latino
Baja: Edge of Control HD (XONE),https://www.metacritic.com/game/xbox-one/baja-edge-of-control-hd
Balan Wonderworld (XONE),https://www.metacritic.com/game/xbox-one/balan-wonderworld
Balancelot (XONE),https://www.metacritic.com/game/xbox-one/balancelot
Baldo: The Guardian Owls (XONE),https://www.metacritic.com/game/xbox-one/baldo-the-guardian-owls
