title,url
I Am Bread (PS4),https://www.metacritic.com/game/playstation-4/i-am-bread
I Am Dead (PS4),https://www.metacritic.com/game/playstation-4/i-am-dead
I Am Setsuna (PS4),https://www.metacritic.com/game/playstation-4/i-am-setsuna
I Am The Hero (PS4),https://www.metacritic.com/game/playstation-4/i-am-the-hero
I and Me (PS4),https://www.metacritic.com/game/playstation-4/i-and-me
I Expect You To Die (PS4),https://www.metacritic.com/game/playstation-4/i-expect-you-to-die
I Expect You To Die 2: The Spy And The Liar (PS4),https://www.metacritic.com/game/playstation-4/i-expect-you-to-die-2-the-spy-and-the-liar
I Hate Running Backwards (PS4),https://www.metacritic.com/game/playstation-4/i-hate-running-backwards
I Love Food (PS4),https://www.metacritic.com/game/playstation-4/i-love-food
I Saw Black Clouds (PS4),https://www.metacritic.com/game/playstation-4/i-saw-black-clouds
I Want To Be Human (PS4),https://www.metacritic.com/game/playstation-4/i-want-to-be-human
I Was a Teenage Exocolonist (PS4),https://www.metacritic.com/game/playstation-4/i-was-a-teenage-exocolonist
I'm Hungry (PS4),https://www.metacritic.com/game/playstation-4/im-hungry
I'm in Love With Your Dead Grandmother (PS4),https://www.metacritic.com/game/playstation-4/im-in-love-with-your-dead-grandmother
"I, AI (PS4)",https://www.metacritic.com/game/playstation-4/i-ai
"I, Zombie (PS4)",https://www.metacritic.com/game/playstation-4/i-zombie
I.Q Intelligent Qube (PS4),https://www.metacritic.com/game/playstation-4/iq-intelligent-qube
Ice Age: Scrat's Nutty Adventure (PS4),https://www.metacritic.com/game/playstation-4/ice-age-scrats-nutty-adventure
Ice Cream Break (PS4),https://www.metacritic.com/game/playstation-4/ice-cream-break
Ice Cream Break Head to Head (PS4),https://www.metacritic.com/game/playstation-4/ice-cream-break-head-to-head
Ice Cream Surfer (PS4),https://www.metacritic.com/game/playstation-4/ice-cream-surfer
Ice Hockey - Breakthrough Gaming Arcade (PS4),https://www.metacritic.com/game/playstation-4/ice-hockey---breakthrough-gaming-arcade
Ice Station Z (PS4),https://www.metacritic.com/game/playstation-4/ice-station-z
Icewind Dale: Enhanced Edition (PS4),https://www.metacritic.com/game/playstation-4/icewind-dale-enhanced-edition
ICEY (PS4),https://www.metacritic.com/game/playstation-4/icey
Iconoclasts (PS4),https://www.metacritic.com/game/playstation-4/iconoclasts
Idle Champions of the Forgotten Realms (PS4),https://www.metacritic.com/game/playstation-4/idle-champions-of-the-forgotten-realms
Idol Manager (PS4),https://www.metacritic.com/game/playstation-4/idol-manager
Ikai (PS4),https://www.metacritic.com/game/playstation-4/ikai
Ikaruga (PS4),https://www.metacritic.com/game/playstation-4/ikaruga
Ikenfell (PS4),https://www.metacritic.com/game/playstation-4/ikenfell
Illusion of L'Phalcia (PS4),https://www.metacritic.com/game/playstation-4/illusion-of-lphalcia
Illusion: A Tale of the Mind (PS4),https://www.metacritic.com/game/playstation-4/illusion-a-tale-of-the-mind
Immortal Legacy: The Jade Cipher (PS4),https://www.metacritic.com/game/playstation-4/immortal-legacy-the-jade-cipher
Immortal Planet (PS4),https://www.metacritic.com/game/playstation-4/immortal-planet
Immortal Realms: Vampire Wars (PS4),https://www.metacritic.com/game/playstation-4/immortal-realms-vampire-wars
Immortal Redneck (PS4),https://www.metacritic.com/game/playstation-4/immortal-redneck
Immortal: Unchained (PS4),https://www.metacritic.com/game/playstation-4/immortal-unchained
Immortal: Unchained - Storm Breaker (PS4),https://www.metacritic.com/game/playstation-4/immortal-unchained---storm-breaker
