title,url
Q*bert: Rebooted (PS4),https://www.metacritic.com/game/playstation-4/qbert-rebooted
Q-YO Blaster (PS4),https://www.metacritic.com/game/playstation-4/q-yo-blaster
Q.U.B.E. 10th Anniversary (PS4),https://www.metacritic.com/game/playstation-4/qube-10th-anniversary
Q.U.B.E. 2 (PS4),https://www.metacritic.com/game/playstation-4/qube-2
Q.U.B.E. Director's Cut (PS4),https://www.metacritic.com/game/playstation-4/qube-directors-cut
Quake Remastered (PS4),https://www.metacritic.com/game/playstation-4/quake-remastered
Quantic Dream Collection (PS4),https://www.metacritic.com/game/playstation-4/quantic-dream-collection
Quantum Replica (PS4),https://www.metacritic.com/game/playstation-4/quantum-replica
Quantum Storm (PS4),https://www.metacritic.com/game/playstation-4/quantum-storm
Quar: Infernal Machines (PS4),https://www.metacritic.com/game/playstation-4/quar-infernal-machines
Qubit's Quest (PS4),https://www.metacritic.com/game/playstation-4/qubits-quest
QUByte Classics - Jim Power: The Lost Dimension Collection by PIKO (PS4),https://www.metacritic.com/game/playstation-4/qubyte-classics---jim-power-the-lost-dimension-collection-by-piko
QUByte Classics - The Humans by PIKO (PS4),https://www.metacritic.com/game/playstation-4/qubyte-classics---the-humans-by-piko
QUByte Classics - The Immortal by PIKO (PS4),https://www.metacritic.com/game/playstation-4/qubyte-classics---the-immortal-by-piko
QUByte Classics: Thunderbolt Collection by PIKO (PS4),https://www.metacritic.com/game/playstation-4/qubyte-classics-thunderbolt-collection-by-piko
QUByte Classics: Tin Head by PIKO (PS4),https://www.metacritic.com/game/playstation-4/qubyte-classics-tin-head-by-piko
QUByte Classics: Zero Tolerance Collection (PS4),https://www.metacritic.com/game/playstation-4/qubyte-classics-zero-tolerance-collection
Queen's Quest 2: Stories of Forgotten Past (PS4),https://www.metacritic.com/game/playstation-4/queens-quest-2-stories-of-forgotten-past
Queen's Quest 3: End of Dawn (PS4),https://www.metacritic.com/game/playstation-4/queens-quest-3-end-of-dawn
Queen's Quest 4: Sacred Truce (PS4),https://www.metacritic.com/game/playstation-4/queens-quest-4-sacred-truce
Queeny Army (PS4),https://www.metacritic.com/game/playstation-4/queeny-army
Quest for Infamy (PS4),https://www.metacritic.com/game/playstation-4/quest-for-infamy
Quest Hunter (PS4),https://www.metacritic.com/game/playstation-4/quest-hunter
Quest of Dungeons (PS4),https://www.metacritic.com/game/playstation-4/quest-of-dungeons
Quick Mafs (PS4),https://www.metacritic.com/game/playstation-4/quick-mafs
Quick Mafs Advanced (PS4),https://www.metacritic.com/game/playstation-4/quick-mafs-advanced
Quintus and the Absent Truth (PS4),https://www.metacritic.com/game/playstation-4/quintus-and-the-absent-truth
Quiplash (PS4),https://www.metacritic.com/game/playstation-4/quiplash
Quiplash 2 InterLASHional: The Say Anything Party Game! (PS4),https://www.metacritic.com/game/playstation-4/quiplash-2-interlashional-the-say-anything-party-game!
QuiVr (PS4),https://www.metacritic.com/game/playstation-4/quivr
Quiz Night Tonight! (PS4),https://www.metacritic.com/game/playstation-4/quiz-night-tonight!
Quiz Thiz France (PS4),https://www.metacritic.com/game/playstation-4/quiz-thiz-france
Quiz Thiz Spain (PS4),https://www.metacritic.com/game/playstation-4/quiz-thiz-spain
Quiz Thiz United Kingdom (PS4),https://www.metacritic.com/game/playstation-4/quiz-thiz-united-kingdom
Quiz Thiz USA (PS4),https://www.metacritic.com/game/playstation-4/quiz-thiz-usa
Qump Jump (PS4),https://www.metacritic.com/game/playstation-4/qump-jump
Qurare: Magic Library (PS4),https://www.metacritic.com/game/playstation-4/qurare-magic-library
